Directgov searches,Business Link searches,Total monthly searches,When I search for...,Then I...,see...,in the top ... results
21001,,21001,jobs,should,https://www.gov.uk/jobs-jobsearch,2
9804,,9804,income support,should,https://www.gov.uk/benefits-adviser,3
9804,,9804,income support,should,https://www.gov.uk/income-support,3
8564,,8564,sorn,should,https://www.gov.uk/register-sorn-statutory-off-road-notification,3
7424,,7424,esa,should,https://www.gov.uk/employment-support-allowance,3
7365,,7365,student finance,should,https://www.gov.uk/apply-for-student-finance-2012-13,3
7365,,7365,student finance,should,https://www.gov.uk/student-finance-calculator,3
5838,,5838,car tax,should,https://www.gov.uk/car-tax-disc-vehicle-licence,2
5497,,5497,housing benefit,should,https://www.gov.uk/housing-benefit,3
5349,,5349,dla,should,https://www.gov.uk/disability-living-allowance-dla-rates,3
5349,,5349,dla,should,https://www.gov.uk/dla-disability-living-allowance-benefit,3
5253,,5253,tax disc,should,https://www.gov.uk/car-tax-disc-vehicle-licence,2
3323,1556,4879,redundancy,should,https://www.gov.uk/redundant-your-rights,3
4799,,4799,attendance allowance,should,https://www.gov.uk/attendance-allowance,3
4799,,4799,attendance allowance,should not,https://www.gov.uk/school-attendance-absence,5
4760,,4760,passport,should,https://www.gov.uk/apply-renew-passport,2
4519,,4519,jsa,should,https://www.gov.uk/jobs-jobsearch,5
4519,,4519,jsa,should,https://www.gov.uk/jobseekers-allowance,3
4377,,4377,driving test,should,https://www.gov.uk/practical-driving-test-for-cars,5
4269,,4269,cv,should,https://www.gov.uk/jobs-jobsearch,5
4050,,4050,carers allowance,should,https://www.gov.uk/carers-allowance,3
3541,492,4033,maternity,should,https://www.gov.uk/maternity-allowance,5
3541,492,4033,maternity,should,https://www.gov.uk/maternity-benefits,3
3541,492,4033,maternity,should,https://www.gov.uk/statutory-maternity-pay,5
3541,492,4033,maternity,should,https://www.gov.uk/sure-start-maternity-grant,5
4021,,4021,tax credits,should,https://www.gov.uk/benefits-adviser,5
4021,,4021,tax credits,should,https://www.gov.uk/claim-tax-credits,3
3977,,3977,dvla,should,https://www.gov.uk/dvla-offices,5
3929,,3929,theory test,should,https://www.gov.uk/book-a-driving-theory-test,3
3929,,3929,theory test,should,https://www.gov.uk/driving-theory-test,3
3811,,3811,child benefit,should,https://www.gov.uk/child-benefit,3
3773,,3773,crisis loan,should,https://www.gov.uk/budgeting-loans,5
3773,,3773,crisis loan,should,https://www.gov.uk/crisis-loans,3
3428,,3428,blue badge,should,https://www.gov.uk/apply-blue-badge,3
3428,,3428,blue badge,should,https://www.gov.uk/blue-badge-scheme-information-council,5
3391,,3391,council tax,should,https://www.gov.uk/council-tax,3
3022,273,3295,minimum wage,should,https://www.gov.uk/your-right-to-minimum-wage,3
3192,,3192,pension credit,should,https://www.gov.uk/pension-credit,3
3192,,3192,pension credit,should,https://www.gov.uk/pension-credit-calculator,3
3185,,3185,all jobs,should,https://www.gov.uk/jobs-jobsearch,3
3133,,3133,job,should,https://www.gov.uk/jobs-jobsearch,3
3116,,3116,rapid reclaim,should,https://www.gov.uk/apply-jobseekers-allowance,3
3116,,3116,rapid reclaim,should,https://www.gov.uk/jobseekers-allowance,3
2981,,2981,working tax credit,should,https://www.gov.uk/working-tax-credit,3
2930,,2930,benefits,should,https://www.gov.uk/benefits-adviser,3
2930,,2930,benefits,should not,https://www.gov.uk/incapacity-benefit,10
2859,,2859,change of address,should,https://www.gov.uk/change-address-driving-licence,5
2859,,2859,change of address,should,https://www.gov.uk/change-name-address-on-vehicle-registration-certificate-v5c,5
2859,,2859,change of address,should,https://www.gov.uk/tell-hmrc-about-a-change-of-name-or-address,5
2844,,2844,job seekers allowance,should,https://www.gov.uk/jobs-jobsearch,5
2844,,2844,job seekers allowance,should,https://www.gov.uk/jobseekers-allowance,3
2685,,2685,job search,should,https://www.gov.uk/jobs-jobsearch,2
2568,,2568,road tax,should,https://www.gov.uk/car-tax-disc-vehicle-licence,3
2149,399,2548,ssp,should,https://www.gov.uk/sick-leave-pay-employees,5
2149,399,2548,ssp,should,https://www.gov.uk/statutory-sick-pay-ssp,3
2501,,2501,working tax credits,should,https://www.gov.uk/working-tax-credit,3
2478,,2478,divorce,should,https://www.gov.uk/divorce,3
2358,,2358,tax,should,https://www.gov.uk/income-tax,3
2358,,2358,tax,should,https://www.gov.uk/tax-codes,3
1462,866,2328,grants,should,https://www.gov.uk/apply-for-student-finance-2012-13,5
2321,,2321,mot,should,https://www.gov.uk/check-mot-status-vehicle,3
2321,,2321,mot,should,https://www.gov.uk/getting-an-mot,3
2282,,2282,csa,should,https://www.gov.uk/arranging-child-maintenance-through-child-support-agency,3
2262,,2262,jobseekers allowance,should,https://www.gov.uk/benefits-adviser,5
